ID_subregion,year,p3501-produkt-krajowy-brutto-na-1-mieszkańca
023015800000,2014,33659
023015800000,2015,35433
023015800000,2016,36979
023015800000,2017,40124
023015800000,2018,42697
023015800000,2019,47219
023015900000,2000,16463
023015900000,2001,16999
023015900000,2002,17310
023015900000,2003,18798
023015900000,2004,21197
023015900000,2005,22289
023015900000,2006,24349
023015900000,2007,26669
023015900000,2008,28879
023015900000,2009,30857
023015900000,2010,32376
023015900000,2011,35071
023015900000,2012,36820
023015900000,2013,38070
023015900000,2014,39668
023015900000,2015,42002
023015900000,2016,43559
023015900000,2017,46641
023015900000,2018,49320
023015900000,2019,53058
023016000000,2000,16515
023016000000,2001,17438
023016000000,2002,17247
023016000000,2003,17913
023016000000,2004,20055
023016000000,2005,21368
023016000000,2006,21912
023016000000,2007,24457
023016000000,2008,25895
023016000000,2009,28176
023016000000,2010,28625
023016000000,2011,30445
023016000000,2012,31415
023016000000,2013,32418
023016000000,2014,33417
023016000000,2015,36186
023016000000,2016,37099
023016000000,2017,39000
023016000000,2018,41742
023016000000,2019,43875
023016100000,2000,22889
023016100000,2001,23493
023016100000,2002,23144
023016100000,2003,25349
023016100000,2004,28143
023016100000,2005,29834
023016100000,2006,33108
023016100000,2007,36343
023016100000,2008,40415
023016100000,2009,42941
023016100000,2010,43538
023016100000,2011,47794
023016100000,2012,49344
023016100000,2013,50807
023016100000,2014,53433
023016100000,2015,57179
023016100000,2016,60684
023016100000,2017,63938
023016100000,2018,67031
023016100000,2019,71508
023016200000,2000,38363
023016200000,2001,39477
023016200000,2002,41089
023016200000,2003,42526
023016200000,2004,48094
023016200000,2005,52011
023016200000,2006,54999
023016200000,2007,61930
023016200000,2008,66563
023016200000,2009,71483
023016200000,2010,73899
023016200000,2011,78436
023016200000,2012,82478
023016200000,2013,85818
023016200000,2014,88320
023016200000,2015,92357
023016200000,2016,96237
023016200000,2017,103401
023016200000,2018,108264
023016200000,2019,120833
023216300000,2000,17379
023216300000,2001,18341
023216300000,2002,19001
023216300000,2003,19638
023216300000,2004,21597
023216300000,2005,22677
023216300000,2006,25080
023216300000,2007,26316
023216300000,2008,29548
023216300000,2009,30714
023216300000,2010,32335
023216300000,2011,33278
023216300000,2012,34484
023216300000,2013,35152
023216300000,2014,36324
023216300000,2015,38710
023216300000,2016,39557
023216300000,2017,42106
023216300000,2018,44638
023216300000,2019,48204
023216400000,2000,14042
023216400000,2001,14184
023216400000,2002,14458
023216400000,2003,14571
023216400000,2004,16064
023216400000,2005,16857
023216400000,2006,18081
023216400000,2007,20145
023216400000,2008,21292
023216400000,2009,22051
023216400000,2010,23131
023216400000,2011,24797
023216400000,2012,25504
023216400000,2013,25910
023216400000,2014,27212
023216400000,2015,28332
023216400000,2016,29407
023216400000,2017,31082
023216400000,2018,32472
023216400000,2019,34559
023216500000,2000,28686
023216500000,2001,29039
023216500000,2002,29763
023216500000,2003,29558
023216500000,2004,30830
023216500000,2005,33736
023216500000,2006,36386
023216500000,2007,39149
023216500000,2008,42819
023216500000,2009,43656
023216500000,2010,44881
023216500000,2011,48154
023216500000,2012,49748
023216500000,2013,50275
023216500000,2014,52738
023216500000,2015,56177
023216500000,2016,57122
023216500000,2017,61009
023216500000,2018,65547
023216500000,2019,70409
023216600000,2000,17629
023216600000,2001,18144
023216600000,2002,18444
023216600000,2003,18730
023216600000,2004,20354
023216600000,2005,21518
023216600000,2006,22355
023216600000,2007,25334
023216600000,2008,28044
023216600000,2009,28086
023216600000,2010,29631
023216600000,2011,31626
023216600000,2012,33148
023216600000,2013,33077
023216600000,2014,34687
023216600000,2015,36878
023216600000,2016,38052
023216600000,2017,40084
023216600000,2018,42723
023216600000,2019,46411
030210100000,2000,17395
030210100000,2001,18277
030210100000,2002,17709
030210100000,2003,18462
030210100000,2004,19591
030210100000,2005,20701
030210100000,2006,22044
030210100000,2007,24096
030210100000,2008,26995
030210100000,2009,28366
030210100000,2010,30250
030210100000,2011,32881
030210100000,2012,35653
030210100000,2013,35941
030210100000,2014,37762
030210100000,2015,37728
030210100000,2016,38566
030210100000,2017,40461
030210100000,2018,42768
030210100000,2019,45346
030210200000,2000,25310
030210200000,2001,24323
030210200000,2002,26137
030210200000,2003,27323
030210200000,2004,32490
030210200000,2005,39499
030210200000,2006,48121
030210200000,2007,53525
030210200000,2008,52313
030210200000,2009,55592
030210200000,2010,67063
030210200000,2011,74886
030210200000,2012,72063
030210200000,2013,65923
030210200000,2014,65661
030210200000,2015,67743
030210200000,2016,65859
030210200000,2017,69910
030210200000,2018,69390
030210200000,2019,74724
030210300000,2000,15078
030210300000,2001,16269
030210300000,2002,16798
030210300000,2003,17801
030210300000,2004,19322
030210300000,2005,20145
030210300000,2006,22132
030210300000,2007,24475
030210300000,2008,26053
030210300000,2009,27419
030210300000,2010,28013
030210300000,2011,30114
030210300000,2012,30743
030210300000,2013,30867
030210300000,2014,32752
030210300000,2015,34509
030210300000,2016,35996
030210300000,2017,37713
030210300000,2018,40055
030210300000,2019,42619
030210400000,2000,15481
030210400000,2001,16134
030210400000,2002,17830
030210400000,2003,18642
030210400000,2004,19496
030210400000,2005,20881
030210400000,2006,22262
030210400000,2007,26554
030210400000,2008,29870
030210400000,2009,31230
030210400000,2010,34150
030210400000,2011,38026
030210400000,2012,41070
030210400000,2013,42374
030210400000,2014,43227
030210400000,2015,47567
030210400000,2016,50616
030210400000,2017,53138
030210400000,2018,56974
030210400000,2019,60134
030210500000,2000,28249
030210500000,2001,28713
030210500000,2002,31223
030210500000,2003,31782
030210500000,2004,34081
030210500000,2005,35529
030210500000,2006,39576
030210500000,2007,45243
030210500000,2008,50606
030210500000,2009,55672
030210500000,2010,58410
030210500000,2011,62664
030210500000,2012,65812
030210500000,2013,68913
030210500000,2014,73065
030210500000,2015,77111
030210500000,2016,80093
030210500000,2017,87099
030210500000,2018,94373
030210500000,2019,104360
031613100000,2000,13334
031613100000,2001,13670
031613100000,2002,14349
031613100000,2003,14380
031613100000,2004,15218
031613100000,2005,16775
031613100000,2006,18051
031613100000,2007,20695
031613100000,2008,22192
031613100000,2009,23724
031613100000,2010,24281
031613100000,2011,26023
031613100000,2012,26751
031613100000,2013,26938
031613100000,2014,27608
031613100000,2015,28447
031613100000,2016,29504
031613100000,2017,31156
031613100000,2018,32939
031613100000,2019,35648
031613200000,2000,18060
031613200000,2001,18280
031613200000,2002,18964
031613200000,2003,19609
031613200000,2004,24243
031613200000,2005,24462
031613200000,2006,25707
031613200000,2007,29428
031613200000,2008,33113
031613200000,2009,33623
031613200000,2010,34831
031613200000,2011,37588
031613200000,2012,38500
031613200000,2013,39100
031613200000,2014,41389
031613200000,2015,43547
031613200000,2016,44143
031613200000,2017,47048
031613200000,2018,50485
031613200000,2019,54277
040410600000,2000,22868
040410600000,2001,24072
040410600000,2002,24733
040410600000,2003,25476
040410600000,2004,27183
040410600000,2005,28972
040410600000,2006,31459
040410600000,2007,34860
040410600000,2008,37689
040410600000,2009,38789
040410600000,2010,40058
040410600000,2011,42627
040410600000,2012,44415
040410600000,2013,44476
040410600000,2014,46079
040410600000,2015,48841
040410600000,2016,50436
040410600000,2017,52925
040410600000,2018,56353
040410600000,2019,60081
040410700000,2000,13670
040410700000,2001,14408
040410700000,2002,15024
040410700000,2003,15372
040410700000,2004,16845
040410700000,2005,17423
040410700000,2006,18627
040410700000,2007,20623
040410700000,2008,22421
040410700000,2009,23350
040410700000,2010,24070
040410700000,2011,25927
040410700000,2012,27421
040410700000,2013,28744
040410700000,2014,29610
040410700000,2015,31033
040410700000,2016,32717
040410700000,2017,34828
040410700000,2018,37414
040410700000,2019,40141
040410800000,2000,14663
040410800000,2001,15483
040410800000,2002,16107
040410800000,2003,16781
040410800000,2004,18826
040410800000,2005,19151
040410800000,2006,20555
040410800000,2007,23132
040410800000,2008,24504
040410800000,2009,24423
040410800000,2010,26725
040410800000,2011,28240
040410800000,2012,28554
040410800000,2013,30331
040410800000,2014,30211
040410800000,2015,33038
040410800000,2016,33326
040410800000,2017,34653
040410800000,2018,35753
040410800000,2019,38584
040416700000,2000,14434
040416700000,2001,15277
040416700000,2002,16015
040416700000,2003,16912
040416700000,2004,18618
040416700000,2005,19100
040416700000,2006,20516
040416700000,2007,22350
040416700000,2008,24703
040416700000,2009,25968
040416700000,2010,26665
040416700000,2011,28171
040416700000,2012,28369
040416700000,2013,28886
040416700000,2014,29819
040416700000,2015,30492
040416700000,2016,32192
040416700000,2017,34141
040416700000,2018,35888
040416700000,2019,38353
040416800000,2000,15756
040416800000,2001,16305
040416800000,2002,16625
040416800000,2003,16812
040416800000,2004,19191
040416800000,2005,19135
040416800000,2006,21090
040416800000,2007,23011
040416800000,2008,23586
040416800000,2009,24225
040416800000,2010,26793
040416800000,2011,29228
040416800000,2012,29334
040416800000,2013,31413
040416800000,2014,33796
040416800000,2015,34817
040416800000,2016,35624
040416800000,2017,39989
040416800000,2018,47590
040416800000,2019,46021
042214000000,2000,13760
042214000000,2001,14994
042214000000,2002,15207
042214000000,2003,15923
042214000000,2004,16697
