ID_powiatu,year,p3350-stopień-wykorzystania-miejsc-noclegowych
012414967000,2015,22.7
012414967000,2016,24.4
012414967000,2017,32.6
012414967000,2018,40.5
012414967000,2019,41.1
012414967000,2020,16.9
012414973000,2010,26.0
012414973000,2011,22.4
012414973000,2012,26.8
012414973000,2013,25.7
012414973000,2014,24.5
012414973000,2015,30.8
012414973000,2016,27.8
012414973000,2017,31.5
012414973000,2018,31.9
012414973000,2019,26.7
012414973000,2020,16.0
012414979000,2010,22.6
012414979000,2011,22.9
012414979000,2012,23.1
012414979000,2013,20.1
012414979000,2014,18.2
012414979000,2015,19.3
012414979000,2016,25.0
012414979000,2017,24.9
012414979000,2018,29.4
012414979000,2019,23.2
012414979000,2020,13.0
012415001000,2010,31.1
012415001000,2011,26.6
012415001000,2012,26.2
012415001000,2013,22.2
012415001000,2014,23.7
012415001000,2015,26.1
012415001000,2016,28.4
012415001000,2017,29.8
012415001000,2018,36.7
012415001000,2019,35.8
012415001000,2020,17.4
012415016000,2010,28.0
012415016000,2011,26.1
012415016000,2012,23.5
012415016000,2013,27.7
012415016000,2014,27.8
012415016000,2015,32.1
012415016000,2016,34.8
012415016000,2017,31.5
012415016000,2018,30.8
012415016000,2019,29.3
012415016000,2020,20.6
012415065000,2010,31.3
012415065000,2011,35.4
012415065000,2012,32.5
012415065000,2013,25.5
012415065000,2014,23.0
012415065000,2015,20.4
012415065000,2016,22.6
012415065000,2017,23.3
012415065000,2018,32.7
012415065000,2019,29.4
012415065000,2020,21.2
012415068000,2010,21.2
012415068000,2011,23.4
012415068000,2012,24.5
012415068000,2013,22.5
012415068000,2014,22.9
012415068000,2015,26.6
012415068000,2016,35.4
012415068000,2017,40.3
012415068000,2018,43.6
012415068000,2019,35.8
012415068000,2020,24.0
012415075000,2010,28.3
012415075000,2011,29.4
012415075000,2012,35.4
012415075000,2013,40.6
012415075000,2014,40.4
012415075000,2015,39.5
012415075000,2016,40.9
012415075000,2017,39.7
012415075000,2018,42.8
012415075000,2019,36.8
012415075000,2020,26.9
012415108000,2010,33.3
012415108000,2011,33.7
012415108000,2012,31.8
012415108000,2013,25.2
012415108000,2014,25.4
012415108000,2015,27.4
012415108000,2016,25.6
012415108000,2017,30.8
012415108000,2018,37.3
012415108000,2019,35.9
012415108000,2020,17.5
012415110000,2010,46.4
012415110000,2011,49.5
012415110000,2012,46.4
012415110000,2013,46.3
012415110000,2014,33.6
012415110000,2015,34.1
012415110000,2016,38.2
012415110000,2017,38.5
012415110000,2018,39.4
012415110000,2019,34.9
012415110000,2020,20.4
012415114000,2010,23.5
012415114000,2011,0.0
012415114000,2012,0.0
012415114000,2013,30.6
012415114000,2014,38.6
012415114000,2015,52.3
012415114000,2016,53.1
012415114000,2017,53.8
012415114000,2018,42.2
012415114000,2019,28.4
012415114000,2020,12.2
012415177000,2010,25.4
012415177000,2011,24.7
012415177000,2012,23.5
012415177000,2013,24.3
012415177000,2014,22.9
012415177000,2015,25.1
012415177000,2016,28.8
012415177000,2017,29.8
012415177000,2018,31.4
012415177000,2019,29.9
012415177000,2020,16.2
020811301000,2010,25.0
