ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-ogółem
012414766000,2010,15478
012414766000,2011,18500
012414766000,2012,20532
012414766000,2013,21098
012414766000,2014,21110
012414766000,2015,24808
012414766000,2016,24246
012414766000,2017,30487
012414766000,2018,36651
012414766000,2019,37292
012414766000,2020,13722
012414778000,2005,15829
012414778000,2006,16134
012414778000,2007,16664
012414778000,2008,15842
012414778000,2009,17030
012414778000,2010,17308
012414778000,2011,15680
012414778000,2012,11705
012414778000,2013,14406
012414778000,2014,14422
012414778000,2015,15560
012414778000,2016,17919
012414778000,2017,18272
012414778000,2018,18669
012414778000,2019,14950
012414778000,2020,5119
012414863000,2005,2363
012414863000,2006,2180
012414863000,2007,2107
012414863000,2008,761
012414863000,2009,632
012414863000,2010,1416
012414863000,2011,2339
012414863000,2012,2869
012414863000,2013,3604
012414863000,2014,5405
012414863000,2015,6039
012414863000,2016,10086
012414863000,2017,11125
012414863000,2018,12151
012414863000,2019,15334
012414863000,2020,3394
012414869000,2005,57215
012414869000,2006,61126
012414869000,2007,61000
012414869000,2008,57337
012414869000,2009,54073
012414869000,2010,56263
012414869000,2011,62765
012414869000,2012,66684
012414869000,2013,73176
012414869000,2014,82064
012414869000,2015,90323
012414869000,2016,96911
012414869000,2017,92426
012414869000,2018,112983
012414869000,2019,116065
012414869000,2020,34875
012414870000,2005,670
012414870000,2006,336
012414870000,2007,239
012414870000,2008,245
012414870000,2009,319
012414870000,2010,219
012414870000,2011,167
012414870000,2012,321
012414870000,2013,526
012414870000,2014,367
012414870000,2015,135
012414870000,2016,0
012414870000,2017,0
012414870000,2018,0
012414870000,2019,0
012414870000,2020,0
012414872000,2005,75
012414872000,2006,126
012414872000,2007,196
012414872000,2008,269
012414872000,2009,238
012414872000,2010,23
012414872000,2011,6
012414872000,2012,118
012414872000,2013,108
012414872000,2014,143
012414872000,2015,338
012414872000,2016,1959
012414872000,2017,2747
012414872000,2018,2367
012414872000,2019,2085
012414872000,2020,978
012414874000,2005,176
012414874000,2006,288
012414874000,2007,329
012414874000,2008,714
012414874000,2009,505
012414874000,2010,714
012414874000,2011,789
012414874000,2012,696
012414874000,2013,1450
012414874000,2014,1462
012414874000,2015,2020
012414874000,2016,2743
012414874000,2017,3068
012414874000,2018,5153
012414874000,2019,5016
012414874000,2020,778
012414876000,2005,0
012414876000,2006,0
012414876000,2007,0
012414876000,2008,0
012414876000,2009,0
012414876000,2010,0
012414876000,2011,0
012414876000,2012,82
012414876000,2013,10
012414876000,2014,0
012414876000,2015,0
012414876000,2016,0
012414876000,2017,20
012414876000,2018,0
012414876000,2019,10
012414876000,2020,12
012414911000,2005,5093
012414911000,2006,4942
012414911000,2007,4266
012414911000,2008,4187
