ID_powiatu,year,p2013-hotele-kategorii-s
061813506000,2009,0
061813506000,2010,0
061813506000,2011,0
061813506000,2012,0
061813506000,2013,0
061813506000,2014,0
061813506000,2015,0
061813506000,2016,0
061813506000,2017,0
061813506000,2018,0
061813506000,2019,0
061813506000,2020,0
061813510000,1995,2
061813510000,1996,1
061813510000,1997,1
061813510000,1998,1
061813510000,1999,2
061813510000,2000,2
061813510000,2001,1
061813510000,2002,1
061813510000,2003,1
061813510000,2004,1
061813510000,2005,1
061813510000,2006,1
061813510000,2007,1
061813510000,2008,1
061813510000,2009,0
061813510000,2010,1
061813510000,2011,0
061813510000,2012,0
061813510000,2013,1
061813510000,2014,0
061813510000,2015,0
061813510000,2016,0
061813510000,2017,0
061813510000,2018,0
061813510000,2019,0
061813510000,2020,0
061813515000,1995,0
061813515000,1996,0
061813515000,1997,1
061813515000,1998,1
061813515000,1999,0
061813515000,2000,0
061813515000,2001,0
061813515000,2002,0
061813515000,2003,0
061813515000,2004,0
061813515000,2005,0
061813515000,2006,0
061813515000,2007,0
061813515000,2008,0
061813515000,2009,0
061813515000,2010,0
061813515000,2011,0
061813515000,2012,0
061813515000,2013,0
061813515000,2014,0
061813515000,2015,0
061813515000,2016,0
061813515000,2017,0
061813515000,2018,0
061813515000,2019,0
061813515000,2020,0
061813516000,1995,2
061813516000,1996,2
061813516000,1997,1
061813516000,1998,1
061813516000,1999,1
061813516000,2000,3
061813516000,2001,2
061813516000,2002,2
061813516000,2003,1
061813516000,2004,1
061813516000,2005,1
061813516000,2006,1
061813516000,2007,1
061813516000,2008,2
061813516000,2009,2
061813516000,2010,3
061813516000,2011,2
061813516000,2012,1
061813516000,2013,2
061813516000,2014,1
061813516000,2015,2
061813516000,2016,2
061813516000,2017,2
061813516000,2018,2
061813516000,2019,2
061813516000,2020,2
061813519000,1995,0
061813519000,1996,0
061813519000,1997,0
061813519000,1998,0
061813519000,1999,0
061813519000,2000,0
061813519000,2001,0
061813519000,2002,0
061813519000,2003,0
061813519000,2004,0
061813519000,2005,0
061813519000,2006,0
061813519000,2007,0
061813519000,2008,0
061813519000,2009,0
061813519000,2010,0
061813519000,2011,0
061813519000,2012,0
061813519000,2013,0
061813519000,2014,0
061813519000,2015,0
061813519000,2016,0
061813519000,2017,0
061813519000,2018,0
061813519000,2019,0
061813519000,2020,1
061813563000,1995,2
061813563000,1996,2
061813563000,1997,1
061813563000,1998,1
061813563000,1999,1
061813563000,2000,3
061813563000,2001,2
061813563000,2002,2
061813563000,2003,1
061813563000,2004,1
061813563000,2005,2
061813563000,2006,2
061813563000,2007,2
061813563000,2008,3
061813563000,2009,3
061813563000,2010,3
061813563000,2011,4
061813563000,2012,3
061813563000,2013,3
061813563000,2014,2
061813563000,2015,2
061813563000,2016,2
061813563000,2017,2
061813563000,2018,2
061813563000,2019,2
061813563000,2020,2
061813603000,1995,0
061813603000,1996,1
061813603000,1997,1
061813603000,1998,1
061813603000,1999,1
061813603000,2000,1
061813603000,2001,1
061813603000,2002,1
061813603000,2003,1
061813603000,2004,1
061813603000,2005,1
061813603000,2006,0
061813603000,2007,0
061813603000,2008,0
061813603000,2009,0
061813603000,2010,0
061813603000,2011,0
061813603000,2012,0
061813603000,2013,0
061813603000,2014,0
061813603000,2015,0
061813603000,2016,0
061813603000,2017,0
061813603000,2018,0
061813603000,2019,0
061813603000,2020,0
061813608000,1995,0
061813608000,1996,0
061813608000,1997,0
061813608000,1998,0
061813608000,1999,0
061813608000,2000,0
061813608000,2001,0
061813608000,2002,0
061813608000,2003,0
061813608000,2004,0
061813608000,2005,0
061813608000,2006,0
061813608000,2007,0
061813608000,2008,0
061813608000,2009,0
061813608000,2010,0
061813608000,2011,0
061813608000,2012,0
061813608000,2013,0
061813608000,2014,0
061813608000,2015,0
061813608000,2016,0
061813608000,2017,0
061813608000,2018,0
061813608000,2019,0
061813608000,2020,0
061813611000,1995,1
061813611000,1996,0
061813611000,1997,0
061813611000,1998,0
061813611000,1999,0
061813611000,2000,0
061813611000,2001,0
061813611000,2002,0
061813611000,2003,0
061813611000,2004,0
061813611000,2005,0
061813611000,2006,0
061813611000,2007,0
061813611000,2008,0
061813611000,2009,0
061813611000,2010,0
061813611000,2011,0
061813611000,2012,0
061813611000,2013,0
061813611000,2014,0
061813611000,2015,0
061813611000,2016,0
061813611000,2017,0
061813611000,2018,0
061813611000,2019,0
061813611000,2020,0
061813612000,1995,0
061813612000,1996,0
061813612000,1997,0
061813612000,1998,0
061813612000,1999,0
061813612000,2000,0
061813612000,2001,0
061813612000,2002,0
061813612000,2003,0
061813612000,2004,1
061813612000,2005,1
061813612000,2006,1
061813612000,2007,1
061813612000,2008,1
061813612000,2009,1
061813612000,2010,1
061813612000,2011,0
061813612000,2012,0
061813612000,2013,1
061813612000,2014,1
061813612000,2015,1
061813612000,2016,1
061813612000,2017,1
061813612000,2018,1
061813612000,2019,1
061813612000,2020,1
061813618000,1995,0
061813618000,1996,0
061813618000,1997,0
061813618000,1998,0
061813618000,1999,0
061813618000,2000,0
061813618000,2001,0
061813618000,2002,0
061813618000,2003,0
061813618000,2004,0
061813618000,2005,0
061813618000,2006,0
061813618000,2007,0
061813618000,2008,0
061813618000,2009,0
061813618000,2010,0
061813618000,2011,0
061813618000,2012,0
061813618000,2013,0
061813618000,2014,0
061813618000,2015,0
061813618000,2016,0
061813618000,2017,0
061813618000,2018,0
061813618000,2019,0
061813618000,2020,0
061813620000,1995,1
061813620000,1996,0
061813620000,1997,0
061813620000,1998,0
061813620000,1999,0
061813620000,2000,0
061813620000,2001,0
061813620000,2002,0
061813620000,2003,0
061813620000,2004,0
061813620000,2005,0
061813620000,2006,0
061813620000,2007,0
061813620000,2008,0
061813620000,2009,0
061813620000,2010,0
061813620000,2011,0
061813620000,2012,0
061813620000,2013,0
061813620000,2014,0
061813620000,2015,0
061813620000,2016,0
061813620000,2017,0
061813620000,2018,0
061813620000,2019,0
061813620000,2020,0
061813664000,1995,0
061813664000,1996,0
061813664000,1997,0
061813664000,1998,0
061813664000,1999,0
061813664000,2000,1
061813664000,2001,1
061813664000,2002,1
061813664000,2003,1
061813664000,2004,1
061813664000,2005,1
061813664000,2006,1
061813664000,2007,1
061813664000,2008,1
061813664000,2009,1
061813664000,2010,0
061813664000,2011,0
061813664000,2012,0
061813664000,2013,0
061813664000,2014,0
061813664000,2015,0
061813664000,2016,0
061813664000,2017,0
061813664000,2018,0
061813664000,2019,0
061813664000,2020,0
062013702000,1995,0
062013702000,1996,0
062013702000,1997,0
062013702000,1998,0
062013702000,1999,0
062013702000,2000,0
062013702000,2001,0
062013702000,2002,0
062013702000,2003,0
062013702000,2004,0
062013702000,2005,0
062013702000,2006,0
062013702000,2007,0
062013702000,2008,0
062013702000,2009,0
062013702000,2010,0
062013702000,2011,0
062013702000,2012,0
062013702000,2013,1
062013702000,2014,0
062013702000,2015,0
062013702000,2016,0
062013702000,2017,0
062013702000,2018,0
062013702000,2019,0
062013702000,2020,0
062013711000,1995,1
062013711000,1996,1
062013711000,1997,0
062013711000,1998,0
062013711000,1999,0
062013711000,2000,0
062013711000,2001,0
062013711000,2002,0
062013711000,2003,0
062013711000,2004,0
062013711000,2005,0
062013711000,2006,0
062013711000,2007,0
062013711000,2008,0
062013711000,2009,0
062013711000,2010,0
062013711000,2011,0
062013711000,2012,0
062013711000,2013,0
062013711000,2014,0
062013711000,2015,0
062013711000,2016,0
062013711000,2017,0
062013711000,2018,0
062013711000,2019,0
062013711000,2020,0
062013761000,1995,0
062013761000,1996,0
062013761000,1997,0
062013761000,1998,0
062013761000,1999,0
062013761000,2000,0
062013761000,2001,1
062013761000,2002,1
062013761000,2003,1
062013761000,2004,0
062013761000,2005,0
062013761000,2006,0
062013761000,2007,0
062013761000,2008,0
062013761000,2009,0
062013761000,2010,0
062013761000,2011,0
062013761000,2012,0
062013761000,2013,0
062013761000,2014,1
062013761000,2015,1
062013761000,2016,1
062013761000,2017,1
062013761000,2018,1
062013761000,2019,1
062013761000,2020,1
062013803000,1995,0
062013803000,1996,0
062013803000,1997,0
062013803000,1998,0
062013803000,1999,0
062013803000,2000,0
062013803000,2001,0
062013803000,2002,0
062013803000,2003,0
062013803000,2004,0
062013803000,2005,0
062013803000,2006,0
062013803000,2007,0
062013803000,2008,0
062013803000,2009,0
062013803000,2010,0
062013803000,2011,0
062013803000,2012,0
062013803000,2013,0
062013803000,2014,0
062013803000,2015,0
062013803000,2016,0
062013803000,2017,0
062013803000,2018,0
062013803000,2019,0
062013803000,2020,0
062013805000,1995,0
062013805000,1996,0
062013805000,1997,0
062013805000,1998,0
062013805000,1999,0
062013805000,2000,0
062013805000,2001,1
062013805000,2002,0
062013805000,2003,0
062013805000,2004,0
062013805000,2005,0
062013805000,2006,0
062013805000,2007,0
062013805000,2008,0
062013805000,2009,0
062013805000,2010,0
062013805000,2011,0
062013805000,2012,0
062013805000,2013,0
062013805000,2014,0
062013805000,2015,0
062013805000,2016,0
062013805000,2017,0
062013805000,2018,0
062013805000,2019,0
062013805000,2020,0
062013806000,1995,0
062013806000,1996,0
062013806000,1997,0
062013806000,1998,0
062013806000,1999,0
062013806000,2000,0
062013806000,2001,0
062013806000,2002,1
062013806000,2003,1
062013806000,2004,1
062013806000,2005,1
062013806000,2006,1
062013806000,2007,1
062013806000,2008,1
062013806000,2009,1
062013806000,2010,1
062013806000,2011,0
062013806000,2012,0
062013806000,2013,0
062013806000,2014,0
062013806000,2015,0
062013806000,2016,0
062013806000,2017,0
062013806000,2018,0
062013806000,2019,0
062013806000,2020,0
062013807000,1995,0
062013807000,1996,0
062013807000,1997,0
062013807000,1998,0
062013807000,1999,0
062013807000,2000,0
062013807000,2001,0
062013807000,2002,0
062013807000,2003,0
062013807000,2004,0
062013807000,2005,0
062013807000,2006,0
062013807000,2007,0
062013807000,2008,0
062013807000,2009,0
062013807000,2010,0
062013807000,2011,0
062013807000,2012,0
062013807000,2013,0
062013807000,2014,0
062013807000,2015,0
062013807000,2016,0
062013807000,2017,0
062013807000,2018,0
062013807000,2019,0
062013807000,2020,0
062013810000,1995,0
062013810000,1996,0
062013810000,1997,0
062013810000,1998,0
062013810000,1999,0
062013810000,2000,0
062013810000,2001,0
062013810000,2002,1
062013810000,2003,1
062013810000,2004,0
062013810000,2005,0
062013810000,2006,0
062013810000,2007,0
062013810000,2008,0
062013810000,2009,0
062013810000,2010,0
062013810000,2011,0
062013810000,2012,0
062013810000,2013,0
062013810000,2014,0
062013810000,2015,0
062013810000,2016,0
062013810000,2017,0
062013810000,2018,0
062013810000,2019,0
062013810000,2020,0
062013813000,1995,0
062013813000,1996,0
062013813000,1997,0
062013813000,1998,1
062013813000,1999,1
062013813000,2000,1
062013813000,2001,0
062013813000,2002,0
062013813000,2003,0
062013813000,2004,0
062013813000,2005,0
062013813000,2006,0
062013813000,2007,0
062013813000,2008,0
062013813000,2009,0
062013813000,2010,0
062013813000,2011,0
062013813000,2012,0
062013813000,2013,0
062013813000,2014,0
062013813000,2015,0
062013813000,2016,0
062013813000,2017,0
062013813000,2018,0
062013813000,2019,0
062013813000,2020,0
062013814000,1995,0
062013814000,1996,0
062013814000,1997,0
062013814000,1998,0
062013814000,1999,1
062013814000,2000,0
062013814000,2001,0
062013814000,2002,0
062013814000,2003,0
062013814000,2004,0
062013814000,2005,0
062013814000,2006,0
062013814000,2007,0
062013814000,2008,0
062013814000,2009,0
062013814000,2010,0
062013814000,2011,0
062013814000,2012,1
062013814000,2013,0
062013814000,2014,0
062013814000,2015,0
062013814000,2016,0
062013814000,2017,0
062013814000,2018,0
062013814000,2019,0
062013814000,2020,0
062013862000,1995,1
062013862000,1996,1
062013862000,1997,0
062013862000,1998,0
062013862000,1999,0
062013862000,2000,0
062013862000,2001,0
062013862000,2002,0
062013862000,2003,0
062013862000,2004,0
062013862000,2005,0
062013862000,2006,0
062013862000,2007,0
062013862000,2008,0
062013862000,2009,0
062013862000,2010,0
062013862000,2011,0
062013862000,2012,0
062013862000,2013,0
062013862000,2014,0
062013862000,2015,0
062013862000,2016,0
062013862000,2017,0
062013862000,2018,0
062013862000,2019,0
062013862000,2020,0
062013901000,1995,0
062013901000,1996,0
062013901000,1997,0
062013901000,1998,0
062013901000,1999,0
062013901000,2000,0
062013901000,2001,0
062013901000,2002,0
062013901000,2003,0
062013901000,2004,0
062013901000,2005,0
062013901000,2006,0
062013901000,2007,0
062013901000,2008,0
062013901000,2009,0
062013901000,2010,0
062013901000,2011,0
062013901000,2012,0
062013901000,2013,0
062013901000,2014,0
062013901000,2015,0
062013901000,2016,0
062013901000,2017,0
062013901000,2018,0
062013901000,2019,0
062013901000,2020,0
062013904000,1995,0
062013904000,1996,0
062013904000,1997,0
062013904000,1998,1
062013904000,1999,1
062013904000,2000,1
062013904000,2001,0
062013904000,2002,0
062013904000,2003,0
062013904000,2004,0
062013904000,2005,0
062013904000,2006,0
062013904000,2007,0
062013904000,2008,0
062013904000,2009,0
062013904000,2010,0
062013904000,2011,0
062013904000,2012,0
062013904000,2013,0
062013904000,2014,0
062013904000,2015,0
062013904000,2016,0
062013904000,2017,0
062013904000,2018,0
062013904000,2019,0
062013904000,2020,0
062013908000,1995,0
062013908000,1996,0
062013908000,1997,0
062013908000,1998,0
062013908000,1999,0
062013908000,2000,0
062013908000,2001,0
062013908000,2002,0
062013908000,2003,0
062013908000,2004,0
062013908000,2005,0
062013908000,2006,0
062013908000,2007,0
062013908000,2008,0
062013908000,2009,0
062013908000,2010,0
062013908000,2011,0
062013908000,2012,0
062013908000,2013,0
062013908000,2014,0
062013908000,2015,0
062013908000,2016,0
062013908000,2017,0
062013908000,2018,0
062013908000,2019,0
062013908000,2020,0
062013909000,1995,0
062013909000,1996,0
062013909000,1997,0
062013909000,1998,0
062013909000,1999,0
062013909000,2000,0
062013909000,2001,0
062013909000,2002,0
062013909000,2003,0
062013909000,2004,0
062013909000,2005,0
062013909000,2006,0
062013909000,2007,0
062013909000,2008,0
062013909000,2009,0
062013909000,2010,0
062013909000,2011,0
062013909000,2012,0
062013909000,2013,0
062013909000,2014,0
062013909000,2015,0
062013909000,2016,0
062013909000,2017,0
062013909000,2018,0
062013909000,2019,0
062013909000,2020,0
062013912000,1995,0
