ID_powiatu,year,p2013-hotele-4-i-5-gwiazdkowemotelepensjonaty-w-ogólnej-liczbie-hotelimotelipensjonatów-ogółem
012414606000,2016,0.0
012414606000,2017,0.0
012414606000,2018,0.0
012414606000,2019,0.0
012414606000,2020,0.0
012414609000,2002,0.0
012414609000,2003,0.0
012414609000,2004,0.0
012414609000,2005,0.0
012414609000,2006,0.0
012414609000,2007,0.0
012414609000,2008,0.0
012414609000,2009,0.0
012414609000,2010,0.0
012414609000,2011,0.0
012414609000,2012,0.0
012414609000,2013,0.0
012414609000,2014,0.0
012414609000,2015,0.0
012414609000,2016,0.0
012414609000,2017,0.0
012414609000,2018,0.0
012414609000,2019,0.0
012414609000,2020,14.29
012414664000,2002,0.0
012414664000,2003,0.0
012414664000,2004,0.0
012414664000,2005,0.0
012414664000,2006,0.0
012414664000,2007,0.0
012414664000,2008,0.0
012414664000,2009,0.0
012414664000,2010,0.0
012414664000,2011,0.0
012414664000,2012,0.0
012414664000,2013,0.0
012414664000,2014,0.0
012414664000,2015,0.0
012414664000,2016,0.0
012414664000,2017,0.0
012414664000,2018,0.0
012414664000,2019,7.14
012414664000,2020,7.69
012414705000,2002,0.0
012414705000,2003,0.0
012414705000,2004,0.0
012414705000,2005,0.0
012414705000,2006,0.0
012414705000,2007,0.0
012414705000,2008,0.0
012414705000,2009,0.0
012414705000,2010,0.0
012414705000,2011,0.0
012414705000,2012,0.0
012414705000,2013,0.0
012414705000,2014,0.0
012414705000,2015,0.0
012414705000,2016,0.0
012414705000,2017,0.0
012414705000,2018,0.0
012414705000,2019,0.0
012414705000,2020,0.0
012414766000,2002,0.0
012414766000,2003,0.0
012414766000,2004,0.0
012414766000,2005,0.0
012414766000,2006,0.0
012414766000,2007,0.0
012414766000,2008,0.0
012414766000,2009,0.0
012414766000,2010,0.0
012414766000,2011,0.0
012414766000,2012,11.11
012414766000,2013,8.33
012414766000,2014,8.33
012414766000,2015,7.69
012414766000,2016,7.69
012414766000,2017,7.69
012414766000,2018,7.69
012414766000,2019,7.69
012414766000,2020,9.09
012414778000,2002,25.0
012414778000,2003,0.0
012414778000,2004,0.0
012414778000,2005,0.0
012414778000,2006,0.0
012414778000,2007,0.0
012414778000,2008,0.0
012414778000,2009,0.0
012414778000,2010,0.0
012414778000,2011,0.0
012414778000,2012,25.0
012414778000,2013,25.0
012414778000,2014,20.0
012414778000,2015,25.0
012414778000,2016,20.0
012414778000,2017,20.0
012414778000,2018,20.0
012414778000,2019,20.0
012414778000,2020,25.0
012414863000,2002,0.0
012414863000,2003,0.0
012414863000,2004,0.0
012414863000,2005,0.0
012414863000,2006,0.0
012414863000,2007,0.0
012414863000,2008,0.0
012414863000,2009,0.0
012414863000,2010,25.0
012414863000,2011,20.0
012414863000,2012,25.0
012414863000,2013,20.0
012414863000,2014,16.67
012414863000,2015,28.57
012414863000,2016,28.57
012414863000,2017,33.33
012414863000,2018,33.33
012414863000,2019,33.33
012414863000,2020,40.0
012414869000,2002,9.09
012414869000,2003,7.69
012414869000,2004,23.08
012414869000,2005,23.08
012414869000,2006,23.08
012414869000,2007,21.43
012414869000,2008,23.08
012414869000,2009,20.0
012414869000,2010,26.67
012414869000,2011,31.25
012414869000,2012,35.29
012414869000,2013,41.18
012414869000,2014,41.18
012414869000,2015,41.18
012414869000,2016,41.18
012414869000,2017,38.89
012414869000,2018,40.0
012414869000,2019,40.0
012414869000,2020,41.18
012414870000,2002,0.0
012414870000,2003,0.0
012414870000,2004,0.0
012414870000,2005,0.0
012414870000,2006,0.0
012414870000,2007,0.0
012414870000,2008,0.0
012414870000,2009,0.0
012414870000,2010,0.0
012414870000,2011,0.0
012414870000,2012,0.0
012414870000,2013,0.0
012414870000,2014,0.0
012414870000,2015,0.0
012414870000,2016,0.0
012414870000,2017,0.0
012414870000,2018,0.0
012414870000,2019,0.0
012414870000,2020,0.0
012414872000,2002,0.0
012414872000,2003,50.0
012414872000,2004,0.0
012414872000,2005,0.0
012414872000,2006,0.0
012414872000,2007,0.0
012414872000,2008,0.0
012414872000,2009,0.0
012414872000,2010,0.0
012414872000,2011,0.0
012414872000,2012,0.0
012414872000,2013,0.0
012414872000,2014,0.0
012414872000,2015,0.0
012414872000,2016,0.0
012414872000,2017,0.0
012414872000,2018,0.0
012414872000,2019,0.0
012414872000,2020,0.0
012414874000,2002,0.0
012414874000,2003,0.0
012414874000,2004,0.0
012414874000,2005,0.0
012414874000,2006,0.0
012414874000,2007,0.0
012414874000,2008,0.0
012414874000,2009,0.0
012414874000,2010,0.0
012414874000,2011,0.0
012414874000,2012,0.0
012414874000,2013,0.0
012414874000,2014,0.0
012414874000,2015,0.0
012414874000,2016,0.0
012414874000,2017,0.0
012414874000,2018,0.0
012414874000,2019,0.0
012414874000,2020,0.0
012414876000,2002,0.0
012414876000,2003,0.0
012414876000,2004,0.0
012414876000,2005,0.0
012414876000,2006,0.0
012414876000,2007,0.0
012414876000,2008,0.0
012414876000,2009,0.0
012414876000,2010,0.0
012414876000,2011,0.0
012414876000,2012,0.0
012414876000,2013,0.0
012414876000,2014,0.0
012414876000,2015,0.0
012414876000,2016,0.0
012414876000,2017,0.0
012414876000,2018,0.0
012414876000,2019,0.0
012414876000,2020,0.0
012414911000,2002,0.0
012414911000,2003,0.0
012414911000,2004,0.0
012414911000,2005,0.0
012414911000,2006,0.0
012414911000,2007,0.0
012414911000,2008,0.0
012414911000,2009,0.0
012414911000,2010,0.0
012414911000,2011,0.0
012414911000,2012,0.0
012414911000,2013,0.0
012414911000,2014,0.0
012414911000,2015,0.0
012414911000,2016,0.0
012414911000,2017,0.0
012414911000,2018,0.0
012414911000,2019,0.0
012414911000,2020,0.0
012414912000,2002,0.0
012414912000,2003,0.0
012414912000,2004,0.0
012414912000,2005,0.0
012414912000,2006,0.0
012414912000,2007,0.0
012414912000,2008,0.0
012414912000,2009,0.0
012414912000,2010,0.0
012414912000,2011,0.0
012414912000,2012,0.0
012414912000,2013,0.0
012414912000,2014,0.0
012414912000,2015,0.0
012414912000,2016,0.0
012414912000,2017,0.0
