ID_powiatu,year,p2596-zieleńce-obiekty
012414606000,2014,16
012414606000,2015,17
012414606000,2016,17
012414606000,2017,17
012414606000,2018,17
012414606000,2019,17
012414606000,2020,17
012414609000,2004,8
012414609000,2005,8
012414609000,2006,17
012414609000,2007,17
012414609000,2008,17
012414609000,2009,17
012414609000,2010,17
012414609000,2011,17
012414609000,2012,17
012414609000,2013,23
012414609000,2014,23
012414609000,2015,23
012414609000,2016,23
012414609000,2017,23
012414609000,2018,23
012414609000,2019,23
012414609000,2020,29
012414664000,2004,37
012414664000,2005,54
012414664000,2006,47
012414664000,2007,64
012414664000,2008,64
012414664000,2009,76
012414664000,2010,76
012414664000,2011,78
012414664000,2012,80
012414664000,2013,82
012414664000,2014,95
012414664000,2015,92
012414664000,2016,93
012414664000,2017,93
012414664000,2018,100
012414664000,2019,109
012414664000,2020,109
012414705000,2004,60
012414705000,2005,58
012414705000,2006,63
012414705000,2007,63
012414705000,2008,64
012414705000,2009,74
012414705000,2010,74
012414705000,2011,74
012414705000,2012,74
012414705000,2013,74
012414705000,2014,75
012414705000,2015,76
012414705000,2016,76
012414705000,2017,76
012414705000,2018,108
012414705000,2019,108
012414705000,2020,109
012414766000,2004,193
012414766000,2005,193
012414766000,2006,213
012414766000,2007,194
012414766000,2008,154
012414766000,2009,235
012414766000,2010,332
012414766000,2011,279
012414766000,2012,272
012414766000,2013,277
012414766000,2014,299
012414766000,2015,294
012414766000,2016,278
012414766000,2017,258
012414766000,2018,258
012414766000,2019,261
012414766000,2020,258
012414778000,2004,144
012414778000,2005,146
012414778000,2006,146
012414778000,2007,146
012414778000,2008,143
012414778000,2009,143
012414778000,2010,143
012414778000,2011,182
012414778000,2012,203
012414778000,2013,334
012414778000,2014,406
012414778000,2015,260
012414778000,2016,280
012414778000,2017,289
012414778000,2018,289
012414778000,2019,289
012414778000,2020,289
012414863000,2004,185
012414863000,2005,192
012414863000,2006,207
012414863000,2007,192
012414863000,2008,207
012414863000,2009,207
012414863000,2010,190
012414863000,2011,196
012414863000,2012,200
012414863000,2013,200
012414863000,2014,200
012414863000,2015,200
012414863000,2016,200
012414863000,2017,200
012414863000,2018,179
012414863000,2019,179
012414863000,2020,179
012414869000,2004,56
012414869000,2005,57
012414869000,2006,57
012414869000,2007,61
012414869000,2008,63
012414869000,2009,62
012414869000,2010,62
012414869000,2011,62
012414869000,2012,62
012414869000,2013,62
012414869000,2014,62
012414869000,2015,62
012414869000,2016,62
012414869000,2017,82
012414869000,2018,82
012414869000,2019,88
012414869000,2020,93
012414870000,2004,13
012414870000,2005,18
012414870000,2006,8
012414870000,2007,8
012414870000,2008,8
012414870000,2009,8
012414870000,2010,8
012414870000,2011,8
012414870000,2012,8
012414870000,2013,8
012414870000,2014,10
012414870000,2015,10
012414870000,2016,10
012414870000,2017,10
012414870000,2018,11
012414870000,2019,11
012414870000,2020,52
012414872000,2004,58
012414872000,2005,61
012414872000,2006,64
012414872000,2007,64
012414872000,2008,64
012414872000,2009,64
012414872000,2010,64
012414872000,2011,64
012414872000,2012,60
012414872000,2013,60
012414872000,2014,60
012414872000,2015,70
012414872000,2016,70
012414872000,2017,73
012414872000,2018,81
012414872000,2019,81
012414872000,2020,81
012414874000,2004,43
012414874000,2005,43
012414874000,2006,43
012414874000,2007,43
012414874000,2008,43
012414874000,2009,43
012414874000,2010,43
012414874000,2011,43
012414874000,2012,43
012414874000,2013,43
012414874000,2014,43
012414874000,2015,43
012414874000,2016,43
012414874000,2017,43
012414874000,2018,43
012414874000,2019,43
012414874000,2020,43
012414876000,2004,70
012414876000,2005,70
012414876000,2006,70
012414876000,2007,70
012414876000,2008,70
012414876000,2009,79
012414876000,2010,24
012414876000,2011,24
012414876000,2012,24
012414876000,2013,24
012414876000,2014,24
012414876000,2015,24
012414876000,2016,24
012414876000,2017,24
012414876000,2018,24
012414876000,2019,24
012414876000,2020,24
012414911000,2004,98
012414911000,2005,98
012414911000,2006,103
012414911000,2007,108
012414911000,2008,108
012414911000,2009,106
012414911000,2010,107
012414911000,2011,107
012414911000,2012,105
012414911000,2013,103
012414911000,2014,100
012414911000,2015,101
012414911000,2016,100
012414911000,2017,96
012414911000,2018,96
012414911000,2019,102
012414911000,2020,101
012414912000,2004,21
012414912000,2005,19
012414912000,2006,19
012414912000,2007,19
012414912000,2008,19
012414912000,2009,19
012414912000,2010,19
012414912000,2011,19
012414912000,2012,19
012414912000,2013,19
012414912000,2014,19
012414912000,2015,19
012414912000,2016,19
012414912000,2017,22
012414912000,2018,22
012414912000,2019,22
012414912000,2020,23
012414915000,2004,82
012414915000,2005,83
012414915000,2006,85
012414915000,2007,85
012414915000,2008,84
012414915000,2009,84
012414915000,2010,41
012414915000,2011,41
012414915000,2012,42
012414915000,2013,43
012414915000,2014,45
012414915000,2015,45
012414915000,2016,45
012414915000,2017,49
012414915000,2018,49
012414915000,2019,50
012414915000,2020,50
012414967000,2004,12
012414967000,2005,12
012414967000,2006,12
012414967000,2007,12
012414967000,2008,12
012414967000,2009,12
012414967000,2010,12
012414967000,2011,12
012414967000,2012,27
012414967000,2013,27
012414967000,2014,27
012414967000,2015,27
012414967000,2016,27
012414967000,2017,27
012414967000,2018,27
012414967000,2019,27
012414967000,2020,27
012414973000,2004,170
012414973000,2005,170
012414973000,2006,170
012414973000,2007,223
012414973000,2008,223
012414973000,2009,223
012414973000,2010,223
012414973000,2011,223
012414973000,2012,223
012414973000,2013,223
012414973000,2014,223
012414973000,2015,223
012414973000,2016,223
012414973000,2017,223
012414973000,2018,223
012414973000,2019,37
012414973000,2020,38
012414979000,2004,43
012414979000,2005,46
012414979000,2006,48
012414979000,2007,49
012414979000,2008,49
012414979000,2009,49
012414979000,2010,49
012414979000,2011,49
012414979000,2012,49
012414979000,2013,49
012414979000,2014,49
012414979000,2015,49
012414979000,2016,49
012414979000,2017,49
012414979000,2018,49
012414979000,2019,49
012414979000,2020,49
012415001000,2004,150
012415001000,2005,185
012415001000,2006,184
012415001000,2007,186
012415001000,2008,186
012415001000,2009,186
012415001000,2010,179
012415001000,2011,182
012415001000,2012,189
012415001000,2013,190
012415001000,2014,190
012415001000,2015,193
012415001000,2016,194
012415001000,2017,193
012415001000,2018,193
012415001000,2019,183
012415001000,2020,183
012415016000,2004,41
012415016000,2005,41
012415016000,2006,61
012415016000,2007,56
012415016000,2008,68
012415016000,2009,77
012415016000,2010,78
012415016000,2011,84
012415016000,2012,89
012415016000,2013,91
012415016000,2014,91
012415016000,2015,91
012415016000,2016,100
012415016000,2017,91
012415016000,2018,101
012415016000,2019,114
012415016000,2020,129
012415065000,2004,52
012415065000,2005,52
012415065000,2006,52
012415065000,2007,52
012415065000,2008,52
012415065000,2009,52
012415065000,2010,52
012415065000,2011,52
012415065000,2012,52
012415065000,2013,52
012415065000,2014,52
012415065000,2015,52
012415065000,2016,52
012415065000,2017,52
012415065000,2018,52
012415065000,2019,52
012415065000,2020,52
012415068000,2004,63
012415068000,2005,63
012415068000,2006,65
012415068000,2007,65
012415068000,2008,70
012415068000,2009,55
012415068000,2010,53
012415068000,2011,49
012415068000,2012,48
012415068000,2013,80
012415068000,2014,76
012415068000,2015,62
012415068000,2016,67
012415068000,2017,67
012415068000,2018,61
012415068000,2019,58
012415068000,2020,56
012415075000,2004,30
012415075000,2005,30
012415075000,2006,30
012415075000,2007,30
012415075000,2008,30
012415075000,2009,30
012415075000,2010,30
012415075000,2011,30
012415075000,2012,30
012415075000,2013,30
012415075000,2014,30
012415075000,2015,30
012415075000,2016,30
012415075000,2017,30
012415075000,2018,30
012415075000,2019,30
012415075000,2020,30
012415108000,2004,21
012415108000,2005,22
012415108000,2006,22
012415108000,2007,22
012415108000,2008,27
012415108000,2009,28
012415108000,2010,30
012415108000,2011,30
012415108000,2012,30
012415108000,2013,29
012415108000,2014,29
012415108000,2015,30
012415108000,2016,30
012415108000,2017,29
012415108000,2018,31
012415108000,2019,31
012415108000,2020,34
012415110000,2004,9
012415110000,2005,8
012415110000,2006,8
012415110000,2007,12
012415110000,2008,23
012415110000,2009,23
012415110000,2010,24
012415110000,2011,24
012415110000,2012,25
012415110000,2013,25
012415110000,2014,25
012415110000,2015,25
012415110000,2016,25
012415110000,2017,25
012415110000,2018,25
012415110000,2019,25
012415110000,2020,25
012415114000,2004,87
012415114000,2005,90
012415114000,2006,84
012415114000,2007,84
012415114000,2008,84
012415114000,2009,84
012415114000,2010,84
012415114000,2011,84
012415114000,2012,84
012415114000,2013,84
012415114000,2014,84
012415114000,2015,93
012415114000,2016,93
012415114000,2017,93
012415114000,2018,94
012415114000,2019,94
012415114000,2020,94
012415177000,2004,9
012415177000,2005,9
012415177000,2006,9
012415177000,2007,9
012415177000,2008,9
012415177000,2009,9
012415177000,2010,10
012415177000,2011,11
012415177000,2012,11
012415177000,2013,17
012415177000,2014,21
012415177000,2015,21
012415177000,2016,21
012415177000,2017,20
012415177000,2018,20
012415177000,2019,13
012415177000,2020,13
020811301000,2004,15
020811301000,2005,15
020811301000,2006,27
020811301000,2007,27
020811301000,2008,26
020811301000,2009,26
020811301000,2010,26
020811301000,2011,26
020811301000,2012,26
020811301000,2013,26
020811301000,2014,26
020811301000,2015,26
020811301000,2016,42
020811301000,2017,42
020811301000,2018,42
020811301000,2019,42
020811301000,2020,42
020811303000,2004,11
020811303000,2005,12
020811303000,2006,13
020811303000,2007,20
020811303000,2008,59
020811303000,2009,59
020811303000,2010,59
020811303000,2011,59
020811303000,2012,59
020811303000,2013,59
020811303000,2014,59
020811303000,2015,59
020811303000,2016,59
020811303000,2017,59
020811303000,2018,59
020811303000,2019,59
020811303000,2020,59
020811305000,2004,34
020811305000,2005,34
020811305000,2006,34
020811305000,2007,34
020811305000,2008,34
020811305000,2009,34
020811305000,2010,34
020811305000,2011,34
020811305000,2012,34
020811305000,2013,34
020811305000,2014,35
020811305000,2015,35
020811305000,2016,35
020811305000,2017,36
020811305000,2018,36
020811305000,2019,36
020811305000,2020,36
020811306000,2004,20
020811306000,2005,23
020811306000,2006,23
020811306000,2007,23
020811306000,2008,23
020811306000,2009,23
020811306000,2010,30
020811306000,2011,30
020811306000,2012,30
020811306000,2013,30
020811306000,2014,30
020811306000,2015,30
020811306000,2016,30
020811306000,2017,30
020811306000,2018,30
020811306000,2019,30
020811306000,2020,30
020811307000,2004,20
020811307000,2005,20
020811307000,2006,21
020811307000,2007,21
020811307000,2008,21
020811307000,2009,21
020811307000,2010,21
020811307000,2011,21
020811307000,2012,21
020811307000,2013,21
020811307000,2014,21
020811307000,2015,21
020811307000,2016,21
020811307000,2017,22
020811307000,2018,22
020811307000,2019,22
020811307000,2020,35
020811361000,2004,141
020811361000,2005,141
020811361000,2006,141
020811361000,2007,141
020811361000,2008,141
020811361000,2009,141
020811361000,2010,141
020811361000,2011,141
020811361000,2012,141
020811361000,2013,141
020811361000,2014,141
020811361000,2015,141
020811361000,2016,141
020811361000,2017,141
020811361000,2018,141
020811361000,2019,141
020811361000,2020,141
020811402000,2004,47
020811402000,2005,35
020811402000,2006,35
020811402000,2007,37
020811402000,2008,40
020811402000,2009,48
020811402000,2010,49
