ID_powiatu,year,p2596-parki-spacerowo-wypoczynkowe-obiekty
040416814000,2019,4
040416814000,2020,4
040416816000,2004,0
040416816000,2005,0
040416816000,2006,0
040416816000,2007,1
040416816000,2008,1
040416816000,2009,1
040416816000,2010,1
040416816000,2011,1
040416816000,2012,1
040416816000,2013,1
040416816000,2014,1
040416816000,2015,1
040416816000,2016,1
040416816000,2017,1
040416816000,2018,1
040416816000,2019,1
040416816000,2020,1
042214004000,2004,1
042214004000,2005,1
042214004000,2006,1
042214004000,2007,1
042214004000,2008,3
042214004000,2009,3
042214004000,2010,3
042214004000,2011,3
042214004000,2012,3
042214004000,2013,3
042214004000,2014,4
042214004000,2015,4
042214004000,2016,4
042214004000,2017,6
042214004000,2018,7
042214004000,2019,12
042214004000,2020,12
042214005000,2004,2
042214005000,2005,2
042214005000,2006,2
042214005000,2007,2
042214005000,2008,2
042214005000,2009,2
042214005000,2010,2
042214005000,2011,2
042214005000,2012,3
042214005000,2013,3
042214005000,2014,4
042214005000,2015,4
042214005000,2016,5
042214005000,2017,5
042214005000,2018,5
042214005000,2019,5
042214005000,2020,5
042214010000,2004,1
042214010000,2005,1
042214010000,2006,1
042214010000,2007,1
042214010000,2008,1
042214010000,2009,2
042214010000,2010,2
042214010000,2011,2
042214010000,2012,2
042214010000,2013,2
042214010000,2014,2
042214010000,2015,2
042214010000,2016,2
042214010000,2017,2
042214010000,2018,2
042214010000,2019,2
042214010000,2020,2
042214011000,2004,5
042214011000,2005,5
042214011000,2006,5
042214011000,2007,5
042214011000,2008,6
042214011000,2009,6
042214011000,2010,6
042214011000,2011,6
042214011000,2012,6
042214011000,2013,6
042214011000,2014,6
042214011000,2015,5
042214011000,2016,5
042214011000,2017,5
042214011000,2018,5
042214011000,2019,5
042214011000,2020,4
042214015000,2004,3
042214015000,2005,3
042214015000,2006,3
042214015000,2007,3
042214015000,2008,3
042214015000,2009,3
042214015000,2010,3
042214015000,2011,3
042214015000,2012,3
042214015000,2013,3
042214015000,2014,3
042214015000,2015,3
042214015000,2016,3
042214015000,2017,3
042214015000,2018,3
042214015000,2019,3
042214015000,2020,3
042214101000,2004,8
042214101000,2005,8
042214101000,2006,10
042214101000,2007,10
042214101000,2008,14
042214101000,2009,14
042214101000,2010,14
042214101000,2011,14
042214101000,2012,14
042214101000,2013,14
042214101000,2014,14
042214101000,2015,14
042214101000,2016,14
042214101000,2017,14
042214101000,2018,14
042214101000,2019,14
042214101000,2020,15
042214108000,2004,6
042214108000,2005,6
042214108000,2006,6
042214108000,2007,8
042214108000,2008,8
042214108000,2009,8
042214108000,2010,8
042214108000,2011,8
042214108000,2012,8
042214108000,2013,8
042214108000,2014,8
042214108000,2015,8
042214108000,2016,8
042214108000,2017,8
042214108000,2018,8
042214108000,2019,9
042214108000,2020,9
042214112000,2004,18
042214112000,2005,18
042214112000,2006,19
042214112000,2007,21
042214112000,2008,16
042214112000,2009,16
042214112000,2010,16
042214112000,2011,16
042214112000,2012,16
042214112000,2013,16
042214112000,2014,16
042214112000,2015,16
042214112000,2016,16
042214112000,2017,16
042214112000,2018,16
042214112000,2019,16
042214112000,2020,17
042214163000,2004,3
042214163000,2005,4
042214163000,2006,4
042214163000,2007,4
042214163000,2008,4
042214163000,2009,4
042214163000,2010,4
042214163000,2011,4
042214163000,2012,4
042214163000,2013,4
042214163000,2014,4
042214163000,2015,4
042214163000,2016,4
042214163000,2017,4
042214163000,2018,4
042214163000,2019,6
042214163000,2020,6
042214207000,2004,4
042214207000,2005,4
042214207000,2006,5
042214207000,2007,6
042214207000,2008,6
042214207000,2009,7
042214207000,2010,7
042214207000,2011,9
042214207000,2012,10
042214207000,2013,10
042214207000,2014,10
042214207000,2015,11
042214207000,2016,11
042214207000,2017,11
042214207000,2018,11
042214207000,2019,11
042214207000,2020,11
042214209000,2004,1
042214209000,2005,1
042214209000,2006,1
042214209000,2007,1
042214209000,2008,1
042214209000,2009,1
042214209000,2010,1
042214209000,2011,1
042214209000,2012,1
042214209000,2013,1
042214209000,2014,1
042214209000,2015,1
042214209000,2016,1
042214209000,2017,1
042214209000,2018,1
042214209000,2019,1
042214209000,2020,1
042214213000,2004,2
042214213000,2005,2
042214213000,2006,2
042214213000,2007,2
042214213000,2008,2
042214213000,2009,3
042214213000,2010,3
042214213000,2011,3
042214213000,2012,3
042214213000,2013,4
042214213000,2014,5
042214213000,2015,5
042214213000,2016,5
042214213000,2017,5
042214213000,2018,5
042214213000,2019,6
042214213000,2020,6
042214214000,2004,10
042214214000,2005,10
042214214000,2006,10
042214214000,2007,11
042214214000,2008,10
042214214000,2009,9
042214214000,2010,9
042214214000,2011,9
042214214000,2012,9
042214214000,2013,9
042214214000,2014,10
042214214000,2015,10
042214214000,2016,10
042214214000,2017,10
042214214000,2018,10
042214214000,2019,10
042214214000,2020,10
042214216000,2004,2
042214216000,2005,3
042214216000,2006,3
042214216000,2007,3
042214216000,2008,3
042214216000,2009,2
042214216000,2010,2
042214216000,2011,2
042214216000,2012,2
042214216000,2013,2
042214216000,2014,2
042214216000,2015,2
042214216000,2016,2
042214216000,2017,2
042214216000,2018,2
042214216000,2019,2
042214216000,2020,2
042214361000,2004,15
042214361000,2005,16
042214361000,2006,16
042214361000,2007,23
042214361000,2008,23
042214361000,2009,23
042214361000,2010,23
042214361000,2011,23
042214361000,2012,23
042214361000,2013,23
042214361000,2014,23
042214361000,2015,23
042214361000,2016,23
042214361000,2017,23
042214361000,2018,23
042214361000,2019,23
042214361000,2020,23
042214362000,2004,3
042214362000,2005,3
042214362000,2006,3
042214362000,2007,3
042214362000,2008,3
042214362000,2009,3
042214362000,2010,3
042214362000,2011,7
042214362000,2012,7
042214362000,2013,7
042214362000,2014,7
042214362000,2015,7
042214362000,2016,7
042214362000,2017,7
042214362000,2018,7
042214362000,2019,6
042214362000,2020,7
042214364000,2004,3
042214364000,2005,3
042214364000,2006,3
042214364000,2007,6
042214364000,2008,6
042214364000,2009,6
042214364000,2010,6
042214364000,2011,6
042214364000,2012,6
042214364000,2013,6
042214364000,2014,6
042214364000,2015,6
042214364000,2016,6
042214364000,2017,6
042214364000,2018,6
042214364000,2019,6
042214364000,2020,6
042217202000,2004,3
042217202000,2005,4
042217202000,2006,11
042217202000,2007,11
042217202000,2008,11
042217202000,2009,11
042217202000,2010,11
042217202000,2011,14
042217202000,2012,14
042217202000,2013,14
042217202000,2014,14
042217202000,2015,14
042217202000,2016,14
042217202000,2017,14
042217202000,2018,14
042217202000,2019,14
042217202000,2020,14
042217203000,2004,5
042217203000,2005,6
042217203000,2006,6
042217203000,2007,7
042217203000,2008,7
042217203000,2009,7
042217203000,2010,7
042217203000,2011,7
042217203000,2012,7
042217203000,2013,7
042217203000,2014,8
042217203000,2015,8
042217203000,2016,8
042217203000,2017,8
042217203000,2018,8
042217203000,2019,8
042217203000,2020,8
042217206000,2004,3
042217206000,2005,3
042217206000,2006,3
042217206000,2007,3
042217206000,2008,3
042217206000,2009,3
042217206000,2010,3
042217206000,2011,3
042217206000,2012,3
042217206000,2013,3
042217206000,2014,3
042217206000,2015,3
042217206000,2016,3
042217206000,2017,3
042217206000,2018,3
042217206000,2019,3
042217206000,2020,3
042815402000,2004,2
042815402000,2005,2
042815402000,2006,2
042815402000,2007,2
042815402000,2008,8
042815402000,2009,8
042815402000,2010,8
042815402000,2011,8
042815402000,2012,8
042815402000,2013,8
042815402000,2014,8
042815402000,2015,9
042815402000,2016,9
042815402000,2017,9
042815402000,2018,9
042815402000,2019,9
042815402000,2020,9
042815403000,2004,4
042815403000,2005,4
042815403000,2006,4
042815403000,2007,4
042815403000,2008,4
042815403000,2009,4
042815403000,2010,4
042815403000,2011,4
042815403000,2012,4
042815403000,2013,4
042815403000,2014,4
042815403000,2015,4
042815403000,2016,4
042815403000,2017,4
042815403000,2018,4
042815403000,2019,4
042815403000,2020,4
042815404000,2004,1
042815404000,2005,1
042815404000,2006,1
042815404000,2007,1
042815404000,2008,1
042815404000,2009,1
042815404000,2010,1
042815404000,2011,1
042815404000,2012,1
042815404000,2013,1
042815404000,2014,1
042815404000,2015,1
042815404000,2016,1
042815404000,2017,1
042815404000,2018,4
042815404000,2019,4
042815404000,2020,4
042815407000,2004,2
042815407000,2005,3
042815407000,2006,3
042815407000,2007,4
042815407000,2008,4
042815407000,2009,4
042815407000,2010,4
042815407000,2011,5
042815407000,2012,5
042815407000,2013,5
042815407000,2014,5
042815407000,2015,5
042815407000,2016,5
042815407000,2017,5
042815407000,2018,6
042815407000,2019,6
042815407000,2020,6
042815412000,2004,1
042815412000,2005,1
042815412000,2006,1
042815412000,2007,1
042815412000,2008,1
042815412000,2009,1
042815412000,2010,1
042815412000,2011,1
042815412000,2012,1
042815412000,2013,1
042815412000,2014,1
042815412000,2015,1
042815412000,2016,1
042815412000,2017,1
042815412000,2018,1
042815412000,2019,1
042815412000,2020,1
042815415000,2004,6
042815415000,2005,6
042815415000,2006,6
042815415000,2007,14
042815415000,2008,14
042815415000,2009,14
042815415000,2010,14
042815415000,2011,14
042815415000,2012,14
042815415000,2013,14
042815415000,2014,14
042815415000,2015,14
042815415000,2016,14
042815415000,2017,14
042815415000,2018,14
042815415000,2019,15
042815415000,2020,15
042815461000,2004,5
042815461000,2005,5
042815461000,2006,5
042815461000,2007,5
042815461000,2008,5
042815461000,2009,5
042815461000,2010,5
042815461000,2011,5
042815461000,2012,5
042815461000,2013,5
042815461000,2014,5
042815461000,2015,5
042815461000,2016,5
042815461000,2017,5
042815461000,2018,6
042815461000,2019,6
042815461000,2020,6
042815505000,2004,1
042815505000,2005,1
042815505000,2006,1
042815505000,2007,1
042815505000,2008,1
042815505000,2009,1
042815505000,2010,1
042815505000,2011,1
042815505000,2012,1
