ID_powiatu,year,p2596-zieleń-uliczna-powierzchnia
012414571000,2006,4.0
012414571000,2007,4.0
012414571000,2008,4.0
012414571000,2009,4.0
012414571000,2010,4.0
012414571000,2011,4.0
012414571000,2012,4.0
012414571000,2013,4.0
012414571000,2014,4.0
012414571000,2015,4.0
012414571000,2016,4.0
012414571000,2017,4.0
012414571000,2018,4.0
012414571000,2019,4.0
012414571000,2020,4.0
012414604000,2004,1.0
012414604000,2005,1.0
012414604000,2006,1.0
012414604000,2007,1.0
012414604000,2008,1.0
012414604000,2009,1.0
012414604000,2010,1.0
012414604000,2011,1.0
012414604000,2012,1.5
012414604000,2013,1.5
012414604000,2014,1.5
012414604000,2015,2.0
012414604000,2016,2.0
012414604000,2017,2.0
012414604000,2018,2.0
012414604000,2019,2.0
012414604000,2020,2.0
012414606000,2004,4.8
012414606000,2005,6.2
012414606000,2006,6.2
012414606000,2007,7.0
012414606000,2008,7.0
012414606000,2009,7.0
012414606000,2010,7.0
012414606000,2011,7.0
012414606000,2012,7.0
012414606000,2013,7.0
012414606000,2014,7.0
012414606000,2015,7.0
012414606000,2016,7.0
012414606000,2017,7.0
012414606000,2018,7.0
012414606000,2019,7.0
012414606000,2020,7.0
012414609000,2004,2.0
012414609000,2005,2.0
012414609000,2006,2.0
012414609000,2007,2.0
012414609000,2008,2.0
012414609000,2009,2.0
012414609000,2010,2.0
012414609000,2011,2.0
012414609000,2012,2.0
012414609000,2013,2.0
012414609000,2014,2.0
012414609000,2015,2.0
012414609000,2016,2.0
012414609000,2017,2.0
012414609000,2018,2.0
012414609000,2019,2.0
012414609000,2020,2.0
012414664000,2004,109.0
012414664000,2005,109.0
012414664000,2006,109.0
012414664000,2007,121.7
012414664000,2008,121.7
012414664000,2009,135.3
012414664000,2010,135.3
012414664000,2011,135.3
012414664000,2012,135.3
012414664000,2013,144.44
012414664000,2014,150.56
012414664000,2015,146.81
012414664000,2016,146.62
012414664000,2017,146.62
012414664000,2018,145.54
012414664000,2019,171.3
012414664000,2020,171.3
012414705000,2004,22.6
012414705000,2005,22.6
012414705000,2006,22.6
012414705000,2007,22.6
012414705000,2008,22.6
012414705000,2009,22.6
012414705000,2010,22.7
012414705000,2011,22.7
012414705000,2012,22.7
012414705000,2013,22.7
012414705000,2014,22.7
012414705000,2015,22.7
012414705000,2016,22.7
012414705000,2017,22.7
012414705000,2018,22.7
012414705000,2019,25.06
012414705000,2020,26.6
012414766000,2004,11.6
