ID_powiatu,year,p2497-przeciętne-miesięczne-wynagrodzenia-brutto-w-relacji-do-średniej-krajowej-polska100
012414562000,2008,89.6
012414562000,2009,88.0
012414562000,2010,89.6
012414562000,2011,90.1
012414562000,2012,88.6
012414562000,2013,89.3
012414562000,2014,88.5
012414562000,2015,97.6
012414562000,2016,93.8
012414562000,2017,89.5
012414562000,2018,89.4
012414562000,2019,92.1
012414562000,2020,92.7
012414571000,2002,111.1
012414571000,2003,79.6
012414571000,2004,81.3
012414571000,2005,80.7
012414571000,2006,81.5
012414571000,2007,83.6
012414571000,2008,83.4
012414571000,2009,82.3
012414571000,2010,82.8
012414571000,2011,81.9
012414571000,2012,85.3
012414571000,2013,85.9
012414571000,2014,89.8
012414571000,2015,95.4
012414571000,2016,98.7
012414571000,2017,102.0
012414571000,2018,100.7
012414571000,2019,100.2
012414571000,2020,97.3
012414604000,2002,73.5
012414604000,2003,72.8
012414604000,2004,73.0
012414604000,2005,72.4
012414604000,2006,72.4
012414604000,2007,72.8
012414604000,2008,75.9
012414604000,2009,77.0
012414604000,2010,77.4
012414604000,2011,77.1
012414604000,2012,76.5
012414604000,2013,75.8
012414604000,2014,77.4
012414604000,2015,77.3
012414604000,2016,78.6
012414604000,2017,80.4
012414604000,2018,81.1
012414604000,2019,83.2
012414604000,2020,83.4
012414606000,2002,69.6
012414606000,2003,68.2
012414606000,2004,66.7
012414606000,2005,66.1
012414606000,2006,65.7
012414606000,2007,65.7
012414606000,2008,66.0
012414606000,2009,68.1
012414606000,2010,70.2
012414606000,2011,70.6
012414606000,2012,71.1
012414606000,2013,72.0
012414606000,2014,71.7
012414606000,2015,71.8
012414606000,2016,71.6
012414606000,2017,72.3
012414606000,2018,71.6
012414606000,2019,71.1
012414606000,2020,74.0
012414609000,2002,70.9
012414609000,2003,70.8
012414609000,2004,71.3
012414609000,2005,70.6
012414609000,2006,72.3
012414609000,2007,73.6
012414609000,2008,74.1
012414609000,2009,76.2
012414609000,2010,76.9
012414609000,2011,78.3
012414609000,2012,79.0
012414609000,2013,79.4
012414609000,2014,79.2
012414609000,2015,80.3
012414609000,2016,80.5
012414609000,2017,82.4
012414609000,2018,83.4
012414609000,2019,85.2
012414609000,2020,82.1
012414664000,2002,87.8
012414664000,2003,88.1
012414664000,2004,88.0
012414664000,2005,88.3
012414664000,2006,89.3
012414664000,2007,87.8
012414664000,2008,86.9
012414664000,2009,87.5
012414664000,2010,87.7
012414664000,2011,88.2
012414664000,2012,88.4
012414664000,2013,88.9
012414664000,2014,88.1
012414664000,2015,87.8
