ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-pozostałe-kraje
012414507000,2016,209
012414507000,2017,120
012414507000,2018,318
012414507000,2019,157
012414507000,2020,27
012414513000,2005,56
012414513000,2006,57
012414513000,2007,39
012414513000,2008,38
012414513000,2009,224
012414513000,2010,201
012414513000,2011,235
012414513000,2012,409
012414513000,2013,434
012414513000,2014,597
012414513000,2015,738
012414513000,2016,956
012414513000,2017,1225
012414513000,2018,1572
012414513000,2019,1635
012414513000,2020,467
012414562000,2005,59
012414562000,2006,70
012414562000,2007,83
012414562000,2008,115
012414562000,2009,483
012414562000,2010,532
012414562000,2011,53
012414562000,2012,62
012414562000,2013,59
012414562000,2014,121
012414562000,2015,177
012414562000,2016,148
012414562000,2017,193
012414562000,2018,223
012414562000,2019,318
012414562000,2020,116
012414571000,2005,0
012414571000,2006,1
012414571000,2007,10
012414571000,2008,0
012414571000,2009,1
012414571000,2010,24
012414571000,2011,14
012414571000,2012,47
012414571000,2013,104
012414571000,2014,159
012414571000,2015,197
012414571000,2016,270
012414571000,2017,333
012414571000,2018,175
012414571000,2019,228
012414571000,2020,63
012414604000,2005,82
012414604000,2006,70
012414604000,2007,52
012414604000,2008,42
012414604000,2009,50
012414604000,2010,91
012414604000,2011,62
012414604000,2012,46
012414604000,2013,20
012414604000,2014,18
012414604000,2015,35
012414604000,2016,138
012414604000,2017,8
012414604000,2018,26
012414604000,2019,15
012414604000,2020,15
012414606000,2005,0
012414606000,2006,0
012414606000,2007,0
012414606000,2008,0
012414606000,2009,0
012414606000,2010,0
012414606000,2011,1
012414606000,2012,0
012414606000,2013,8
012414606000,2014,0
012414606000,2015,0
012414606000,2016,0
012414606000,2017,1
012414606000,2018,1
012414606000,2019,26
012414606000,2020,7
012414609000,2005,10
012414609000,2006,6
012414609000,2007,7
012414609000,2008,3
012414609000,2009,7
012414609000,2010,201
012414609000,2011,314
012414609000,2012,226
012414609000,2013,235
012414609000,2014,162
012414609000,2015,119
012414609000,2016,258
012414609000,2017,142
012414609000,2018,200
012414609000,2019,85
012414609000,2020,121
012414664000,2005,2416
012414664000,2006,2521
012414664000,2007,2132
012414664000,2008,1829
012414664000,2009,2070
012414664000,2010,2451
012414664000,2011,2716
012414664000,2012,3086
012414664000,2013,2203
012414664000,2014,1956
012414664000,2015,2641
012414664000,2016,3637
012414664000,2017,2380
012414664000,2018,2817
012414664000,2019,2359
012414664000,2020,1182
012414705000,2005,42
012414705000,2006,101
012414705000,2007,113
012414705000,2008,138
012414705000,2009,156
012414705000,2010,47
012414705000,2011,109
012414705000,2012,158
012414705000,2013,159
012414705000,2014,84
012414705000,2015,175
012414705000,2016,166
012414705000,2017,151
012414705000,2018,194
012414705000,2019,156
012414705000,2020,68
012414766000,2005,549
012414766000,2006,557
012414766000,2007,772
012414766000,2008,1031
012414766000,2009,843
012414766000,2010,1110
012414766000,2011,1182
012414766000,2012,1178
012414766000,2013,1189
012414766000,2014,1387
012414766000,2015,1872
012414766000,2016,1977
012414766000,2017,2548
012414766000,2018,4112
012414766000,2019,3742
012414766000,2020,1582
012414778000,2005,1111
012414778000,2006,1620
012414778000,2007,399
012414778000,2008,738
012414778000,2009,1877
012414778000,2010,807
012414778000,2011,878
012414778000,2012,360
012414778000,2013,857
012414778000,2014,910
012414778000,2015,550
012414778000,2016,756
012414778000,2017,1326
012414778000,2018,1113
012414778000,2019,710
012414778000,2020,218
012414863000,2005,134
012414863000,2006,256
012414863000,2007,144
012414863000,2008,33
012414863000,2009,24
012414863000,2010,59
012414863000,2011,124
012414863000,2012,249
012414863000,2013,220
012414863000,2014,402
012414863000,2015,447
012414863000,2016,1110
012414863000,2017,998
012414863000,2018,1032
012414863000,2019,1649
012414863000,2020,279
012414869000,2005,7073
012414869000,2006,6237
012414869000,2007,4913
012414869000,2008,3737
012414869000,2009,3840
012414869000,2010,5570
012414869000,2011,5331
012414869000,2012,5706
012414869000,2013,8328
012414869000,2014,9045
012414869000,2015,9166
012414869000,2016,10884
012414869000,2017,12160
012414869000,2018,16967
012414869000,2019,16431
012414869000,2020,3717
012414870000,2005,30
012414870000,2006,12
012414870000,2007,14
012414870000,2008,10
012414870000,2009,23
012414870000,2010,14
012414870000,2011,4
012414870000,2012,18
